league,season,team,player,goals_p90,assists_p90,selection,ga
ENG-Premier League,2526,Arsenal,Ben White,0.0,0.13,ENG,0.12820512820512822
ENG-Premier League,2526,Arsenal,Bukayo Saka,0.28,0.2,ENG,0.486048604860486
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,0.0,0.0,ESP,0.0
ENG-Premier League,2526,Arsenal,David Raya,0.0,0.0,ESP,0.0
ENG-Premier League,2526,Arsenal,Declan Rice,0.12,0.15,ENG,0.2617970265029088
ENG-Premier League,2526,Arsenal,Eberechi Eze,0.35,0.1,ENG,0.4470198675496689
ENG-Premier League,2526,Arsenal,Gabriel Magalhães,0.1,0.13,BRA,0.22900763358778625
ENG-Premier League,2526,Arsenal,Gabriel Martinelli,0.08,0.33,BRA,0.4162812210915819
ENG-Premier League,2526,Arsenal,Jurriën Timber,0.11,0.18,NED,0.293398533007335
ENG-Premier League,2526,Arsenal,Kai Havertz,0.31,0.46,GER,0.774526678141136
ENG-Premier League,2526,Arsenal,Leandro Trossard,0.27,0.27,BEL,0.54
ENG-Premier League,2526,Arsenal,Martin Ødegaard,0.07,0.39,NOR,0.4601899196493791
ENG-Premier League,2526,Arsenal,Martín Zubimendi,0.15,0.03,ESP,0.18048128342245986
ENG-Premier League,2526,Arsenal,Mikel Merino,0.35,0.26,ESP,0.6081081081081081
ENG-Premier League,2526,Arsenal,Myles Lewis-Skelly,0.0,0.0,ENG,0.0
ENG-Premier League,2526,Arsenal,Noni Madueke,0.22,0.07,ENG,0.2972749793559042
ENG-Premier League,2526,Arsenal,Piero Hincapié,0.05,0.1,ECU,0.15066964285714285
ENG-Premier League,2526,Arsenal,Riccardo Calafiori,0.05,0.11,ITA,0.15891701000588582
ENG-Premier League,2526,Arsenal,Viktor Gyökeres,0.57,0.04,SWE,0.6070143884892086
ENG-Premier League,2526,Arsenal,William Saliba,0.03,0.0,FRA,0.03442999234889059
ENG-Premier League,2526,Aston Villa,Amadou Onana,0.1,0.0,BEL,0.10238907849829351
ENG-Premier League,2526,Aston Villa,Boubacar Kamara,0.06,0.19,FRA,0.2551381998582566
ENG-Premier League,2526,Aston Villa,Donyell Malen,0.55,0.14,NED,0.6859756097560976
ENG-Premier League,2526,Aston Villa,Douglas Luiz,0.15,0.0,BRA,0.14900662251655628
ENG-Premier League,2526,Aston Villa,Emi Buendía,0.31,0.1,ARG,0.41025641025641024
ENG-Premier League,2526,Aston Villa,Emiliano Martínez,0.0,0.03,ARG,0.031746031746031744
ENG-Premier League,2526,Aston Villa,Evann Guessand,0.0,0.15,CIV,0.15306122448979592
ENG-Premier League,2526,Aston Villa,Ezri Konsa,0.0,0.0,ENG,0.0
ENG-Premier League,2526,Aston Villa,Ian Maatsen,0.0,0.06,NED,0.05607476635514019
