league,season,team,player,goals_p90,assists_p90,selection,goal_assist_p90,team_success
ENG-Premier League,2526,Arsenal,Ben White,0.0,0.13,ENG,0.13,6
ENG-Premier League,2526,Arsenal,Bukayo Saka,0.28,0.2,ENG,0.49,16
ENG-Premier League,2526,Arsenal,Cristhian Mosquera,0.0,0.0,ESP,0.0,8
ENG-Premier League,2526,Arsenal,David Raya,0.0,0.0,ESP,0.0,26
ENG-Premier League,2526,Arsenal,Declan Rice,0.12,0.15,ENG,0.26,25
ENG-Premier League,2526,Arsenal,Eberechi Eze,0.35,0.1,ENG,0.45,14
ENG-Premier League,2526,Arsenal,Gabriel Magalhães,0.1,0.13,BRA,0.23,20
ENG-Premier League,2526,Arsenal,Gabriel Martinelli,0.08,0.33,BRA,0.42,8
ENG-Premier League,2526,Arsenal,Jurriën Timber,0.11,0.18,NED,0.29,20
ENG-Premier League,2526,Arsenal,Kai Havertz,0.31,0.46,GER,0.77,4
ENG-Premier League,2526,Arsenal,Leandro Trossard,0.27,0.27,BEL,0.54,15
ENG-Premier League,2526,Arsenal,Martin Ødegaard,0.07,0.39,NOR,0.46,13
ENG-Premier League,2526,Arsenal,Martín Zubimendi,0.15,0.03,ESP,0.18,25
ENG-Premier League,2526,Arsenal,Mikel Merino,0.35,0.26,ESP,0.61,10
ENG-Premier League,2526,Arsenal,Myles Lewis-Skelly,0.0,0.0,ENG,0.0,8
ENG-Premier League,2526,Arsenal,Noni Madueke,0.22,0.07,ENG,0.3,9
ENG-Premier League,2526,Arsenal,Piero Hincapié,0.05,0.1,ECU,0.15,19
ENG-Premier League,2526,Arsenal,Riccardo Calafiori,0.05,0.11,ITA,0.16,8
ENG-Premier League,2526,Arsenal,Viktor Gyökeres,0.57,0.04,SWE,0.61,14
ENG-Premier League,2526,Arsenal,William Saliba,0.03,0.0,FRA,0.03,20
ENG-Premier League,2526,Aston Villa,Amadou Onana,0.1,0.0,BEL,0.1,26
ENG-Premier League,2526,Aston Villa,Boubacar Kamara,0.06,0.19,FRA,0.26,15
ENG-Premier League,2526,Aston Villa,Donyell Malen,0.55,0.14,NED,0.69,10
ENG-Premier League,2526,Aston Villa,Douglas Luiz,0.15,0.0,BRA,0.15,8
ENG-Premier League,2526,Aston Villa,Emi Buendía,0.31,0.1,ARG,0.41,24
ENG-Premier League,2526,Aston Villa,Emiliano Martínez,0.0,0.03,ARG,0.03,39
ENG-Premier League,2526,Aston Villa,Evann Guessand,0.0,0.15,CIV,0.15,10
ENG-Premier League,2526,Aston Villa,Ezri Konsa,0.0,0.0,ENG,0.0,44
ENG-Premier League,2526,Aston Villa,Ian Maatsen,0.0,0.06,NED,0.06,27
ENG-Premier League,2526,Aston Villa,Jadon Sancho,0.0,0.21,ENG,0.21,10
ENG-Premier League,2526,Aston Villa,John McGinn,0.21,0.17,SCO,0.38,28
ENG-Premier League,2526,Aston Villa,Lamare Bogarde,0.0,0.0,NED,0.0,17
ENG-Premier League,2526,Aston Villa,Leon Bailey,0.0,0.2,JAM,0.2,9
ENG-Premier League,2526,Aston Villa,Lucas Digne,0.0,0.29,FRA,0.29,23
ENG-Premier League,2526,Aston Villa,Marco Bizot,0.0,0.0,NED,0.0,10
ENG-Premier League,2526,Aston Villa,Matty Cash,0.09,0.09,POL,0.18,38
ENG-Premier League,2526,Aston Villa,Morgan Rogers,0.27,0.16,ENG,0.44,48
ENG-Premier League,2526,Aston Villa,Ollie Watkins,0.51,0.1,ENG,0.6,38
ENG-Premier League,2526,Aston Villa,Pau Torres,0.0,0.0,ESP,0.0,19
ENG-Premier League,2526,Aston Villa,Ross Barkley,0.32,0.11,ENG,0.42,15
ENG-Premier League,2526,Aston Villa,Tyrone Mings,0.0,0.0,ENG,0.0,23
ENG-Premier League,2526,Aston Villa,Victor Lindelöf,0.0,0.09,SWE,0.09,15
ENG-Premier League,2526,Aston Villa,Youri Tielemans,0.0,0.19,BEL,0.19,27
ENG-Premier League,2526,Bournemouth,Adam Smith,0.0,0.17,ENG,0.17,16
ENG-Premier League,2526,Bournemouth,Adrien Truffert,0.03,0.13,FRA,0.16,51
ENG-Premier League,2526,Bournemouth,Alex Scott,0.09,0.03,ENG,0.13,42
ENG-Premier League,2526,Bournemouth,Amine Adli,0.25,0.08,MAR,0.33,17
ENG-Premier League,2526,Bournemouth,Antoine Semenyo,0.5,0.15,GHA,0.65,38
ENG-Premier League,2526,Bournemouth,Bafodé Diakité,0.0,0.0,FRA,0.0,27
ENG-Premier League,2526,Bournemouth,David Brooks,0.07,0.22,WAL,0.3,20
ENG-Premier League,2526,Bournemouth,Eli Junior Kroupi,0.7,0.0,FRA,0.7,21
ENG-Premier League,2526,Bournemouth,Evanilson,0.2,0.03,BRA,0.23,40
ENG-Premier League,2526,Bournemouth,James Hill,0.0,0.13,ENG,0.13,24
ENG-Premier League,2526,Bournemouth,Justin Kluivert,0.19,0.0,NED,0.19,19
ENG-Premier League,2526,Bournemouth,Lewis Cook,0.0,0.1,ENG,0.1,18
ENG-Premier League,2526,Bournemouth,Marcos Senesi,0.0,0.14,ARG,0.14,53
ENG-Premier League,2526,Bournemouth,Marcus Tavernier,0.23,0.13,ENG,0.36,44
ENG-Premier League,2526,Bournemouth,Rayan,0.41,0.16,BRA,0.57,10
ENG-Premier League,2526,Bournemouth,Ryan Christie,0.18,0.0,SCO,0.18,14
ENG-Premier League,2526,Bournemouth,Tyler Adams,0.1,0.1,USA,0.2,28
ENG-Premier League,2526,Bournemouth,Álex Jiménez,0.04,0.0,ESP,0.04,38
ENG-Premier League,2526,Bournemouth,Đorđe Petrović,0.0,0.0,SRB,0.0,54
ENG-Premier League,2526,Brentford,Aaron Hickey,0.0,0.0,SCO,0.0,9
ENG-Premier League,2526,Brentford,Caoimhín Kelleher,0.0,0.0,IRL,0.0,49
ENG-Premier League,2526,Brentford,Dango Ouattara,0.28,0.12,BFA,0.4,35
